OBJECTID,ZCTA5,DDA_CODE,DDA_TYPE,DDA_NAME,Shape__Area,Shape__Length
1,,NCNTY10005N10005,NM,Sussex County,4162167169.41797,281558.212059385
2,,NCNTY05057N05057,NM,Hempstead County,2782421114.67578,302536.294203242
3,,NCNTY06091N06091,NM,Sierra County,4200253754.35156,369728.306421965
4,,NCNTY08067N08067,NM,La Plata County,6967342079.67969,368978.061032206
5,,NCNTY48287N48287,NM,Lee County,2211085319.69531,250511.466402851
6,,NCNTY22115N22115,NM,Vernon Parish,4750064324.35156,336059.54525475
7,,NCNTY30005N30005,NM,Blaine County,24919552116.6406,772135.121684421
8,,NCNTY30029N30029,NM,Flathead County,30735314082.6016,1162484.51838995
9,,NCNTY37055N37055,NM,Dare County,1609502765.67578,597032.177816994
10,,NCNTY37091N37091,NM,Hertford County,1435338466.44141,220309.479307256
11,,NCNTY02180N02180,NM,Nome Census Area,340500908671.469,6421311.22095963
12,,NCNTY02070N02070,NM,Dillingham Census Area,193487360404.313,3102611.94292062
13,,NCNTY41015N41015,NM,Curry County,7789979220.30469,571754.988937809
14,,NCNTY41007N41007,NM,Clatsop County,4576330059.44531,342753.944607482
15,,NCNTY41035N41035,NM,Klamath County,29437530456.4063,841873.941421144
16,,NCNTY41065N41065,NM,Wasco County,12474851097.2813,686942.458493774
17,,NCNTY04007N04007,NM,Gila County,18031102756.3398,997457.173850741
18,,NCNTY48273N48273,NM,Kleberg County,2996982134.0293,441895.520764223
19,,NCNTY49019N49019,NM,Grand County,15815922399.8477,662094.084562151
20,,NCNTY51133N51133,NM,Northumberland County,881953363.953125,191382.601530325
21,,NCNTY05099N05099,NM,Nevada County,2326350326.07422,242477.00797438
22,,NCNTY22081N22081,NM,Red River Parish,1455533659.00781,205316.224377593
23,,NCNTY28101N28101,NM,Newton County,2111732578.32031,184037.084165759
24,,NCNTY30047N30047,NM,Lake County,9432964917.86719,607049.834684658
25,,NCNTY30069N30069,NM,Petroleum County,9360298951.11719,633004.429561239
26,,NCNTY32011N32011,NM,Eureka County,18466080539.1289,704518.201368573
27,,NCNTY41055N41055,NM,Sherman County,4366742844.05469,437855.140355107
28,,NCNTY47185N47185,NM,White County,1501731073.30469,224492.861907849
29,,NCNTY66010N66010,NM,Guam,594693084.607422,159390.607149438
30,,NCNTY78010N78010,NM,St. Croix Island,239360482.069336,115788.787558343
31,,NCNTY06109N06109,NM,Tuolumne County,9509293253.20703,620189.190901147
32,,NCNTY12037N12037,NM,Franklin County,1959221215.73828,478845.741549281
33,,NCNTY13241N13241,NM,Rabun County,1455525343.8125,219947.029329932
34,,NCNTY04001N04001,NM,Apache County,43844949640.8242,1212915.90882105
35,,NCNTY06057N06057,NM,Nevada County,4216581646.52734,426164.562705629
36,,NCNTY24011N24011,NM,Caroline County,1395262124.45313,223970.636282749
37,,NCNTY37113N37113,NM,Macon County,2017147472.42188,240851.998088294
38,,NCNTY37175N37175,NM,Transylvania County,1479304344.83984,196907.270645458
39,,NCNTY37049N37049,NM,Craven County,2834460721.51953,393416.160725681
40,,NCNTY37137N37137,NM,Pamlico County,1416584826.41016,250144.613082094
41,,NCNTY37131N37131,NM,Northampton County,2206823754.73438,289408.929151491
42,,NCNTY02130N02130,NM,Ketchikan Gateway Borough,41757810162.6328,3065057.09954465
43,,NCNTY02185N02185,NM,North Slope Borough,1865109117165.94,9355292.16876875
44,,NCNTY42127N42127,NM,Wayne County,3484680722.75391,347030.327828563
45,,NCNTY42089N42089,NM,Monroe County,2813390187.26563,261008.070985229
46,,NCNTY02100N02100,NM,Haines Borough,23496928377.3906,1764149.82961672
47,,NCNTY28113N28113,NM,Pike County,1457883043.65234,155120.946338591
48,,NCNTY28055N28055,NM,Issaquena County,1620559579.55078,347461.044868238
49,,NCNTY28021N28021,NM,Claiborne County,1808779364.06641,292885.514576923
50,,NCNTY30053N30053,NM,Lincoln County,21697749634.6172,768505.489279251
51,,NCNTY30085N30085,NM,Roosevelt County,13854358531.7344,709159.857964941
52,,NCNTY30035N30035,NM,Glacier County,18046641068.125,688625.653787896
53,,NCNTY20093N20093,NM,Kearny County,3638508334.64453,249944.011661868
54,,NCNTY47155N47155,NM,Sevier County,2358078445.39844,258013.030824914
55,,NCNTY53055N53055,NM,San Juan County,1135835065.58594,639017.924380414
56,,NCNTY53029N53029,NM,Island County,1233954863.3125,444996.795711989
57,,NCNTY08117N08117,NM,Summit County,2707755858.87109,322147.802453482
