id,deal_number,status,classification,priority,address,city,state,zip,county,asking_price,size_acres,unit_count,yield_on_cost,qct_status,dda_status,oz_status,lihtc_score_total,product_types,analyst_notes,rejection_reason,deal_step,assigned_analyst,submission_method,broker_id,broker_name,broker_email,brokerage,created_at,updated_at
ab536530-f4d5-4237-be80-56a20d849415,460,under_review,dead,medium,3500 Levon Drive,Wilmington,NC,28412,New Hanover,,13.57,46,,NO,NO,NO,,[],"",,,Austin Blondell,analyst_quick_add,,,,,2026-07-21T17:44:35.705Z,2026-08-07T17:49:49.606Z
9f03cf66-f6e2-43e2-b138-698a8ccd660f,455,clear_no,red,medium,5350 Atlanta Highway,Bogart,GA,30622,Clarke County,,35.05,,,NO,MDDA,NO,,[],"","Found 5 multifamily properties within 3 miles, but none meet our acquisition criteria (built 2020+ with 150+ units). The market here is composed of older or smaller assets that don't reflect institutional multifamily benchmarks.

Properties found nearby:
• Cottages at Ridge Pointe — 1.8 mi: built 2019 (need 2020+)
• Wellington Park — 2.1 mi: built 1995 (need 2020+), 112 units (need 150+)
• 0012 -  WELLINGTON PARK - POWER FAM PRTNSHP — 2.2 mi: built 1993 (need 2020+), 112 units (need 150+)
• Rev3 at Mill Creek — 2.6 mi: 90 units (need 150+)
• Meadowland — 2.6 mi: built 1984 (need 2020+), 60 units (need 150+)",,Austin Blondell,analyst_quick_add,,,,,2026-07-21T17:02:06.480Z,2026-07-23T15:35:52.648Z
769e7623-6032-4533-8b74-67bac7be1d4e,449,pending_review,unclassified,medium,1648 Loves Ln,Charlotte,NC,28216,Mecklenburg,,34.22,161,,NO,NO,NO,,[],"",,,Austin Blondell,analyst_quick_add,,,,,2026-07-20T18:57:35.590Z,2026-08-07T17:52:00.142Z
98d46efe-73d6-4a1b-a99a-cd4a4ea91709,444,clear_no,red,medium,4537 W Market St,Greensboro,NC,27407,Guilford County,5000000.00,7.95,,,NO,NO,NO,,[],"",1968 vintage is below the 2000 minimum for acquisitions,,Austin Blondell,analyst_quick_add,,,,,2026-07-17T20:07:40.274Z,2026-08-07T17:53:34.723Z
29db12c2-b5ba-4c2a-bc02-1bd281bca57a,429,clear_no,red,medium,Highlands Glen Drive Phase 5,Shallotte,NC,28470,Brunswick County,3000000.00,20.30,,,NO,NO,NO,,[],"","Found 1 comparable property meeting age/size criteria (2020+, 150+ units), but market rents don't support our $1.75/sqft minimum:

• The Tides of Shallotte: $1.60/sqft ($0.15 below minimum) — 2024 vintage, 294 units, 0.8 mi

Best market rent in this area is $1.60/sqft — $0.15/sqft short of our minimum. This gap would materially impact development economics.",,Austin Blondell,analyst_quick_add,,,,,2026-07-10T18:04:55.656Z,2026-08-07T17:56:17.062Z
4e974cad-def4-4c90-bc14-6cda70931ab0,421,under_review,yellow,medium,151 Parkway North,Newnan,GA,30265,Coweta,,17.30,192,,N/A,NO,,,[],"",,,Austin Blondell,analyst_quick_add,,,,,2026-07-09T21:17:27.135Z,2026-07-16T17:20:23.490Z
45b2051b-daa5-493d-8036-bec42214723e,414,clear_no,red,medium,0 lefty rd,Kenly,NC,27542,,1050000.00,96.00,,,NO,NO,NO,,[],"1,700+/-' of Paved Road Frontage
Excellent Location within Kenly ETJ
Underground Power
Rocked Entrance Road","Found 2 multifamily properties within 3 miles, but none meet our acquisition criteria (built 2020+ with 150+ units). The market here is composed of older or smaller assets that don't reflect institutional multifamily benchmarks.

Properties found nearby:
• KENLY COURT APARTMENTS — 0.9 mi: built 1979 (need 2020+), 48 units (need 150+)
• KENLY VILLAGE APTS — 1.1 mi: 24 units (need 150+)",,Austin Blondell,analyst_quick_add,,,,,2026-07-08T19:58:46.142Z,2026-08-07T17:58:28.537Z
a214a4dd-9aeb-41cf-ab95-464be763bbf9,401,clear_no,red,medium,"Coordinates: 35.850778, -79.087833",,,,,,,,,NO,NO,NO,19,[],"","Found 1 multifamily property within 3 miles, but none meet our acquisition criteria (built 2020+ with 150+ units). The market here is composed of older or smaller assets that don't reflect institutional multifamily benchmarks.

Properties found nearby:
• 76 Bell Cir — 0.4 mi: built 1990 (need 2020+), 19 units (need 150+)",,Austin Blondell,analyst_quick_add,,,,,2026-07-06T13:23:52.624Z,2026-07-06T17:58:10.806Z
dc8275c1-37ba-4761-8e55-8ea7bb165fbe,397,clear_no,red,medium,Currituck County NLR Opp,Jarvisburg,NC,27964,Currituck,599000.00,41.42,,,NO,NO,NO,,[],"","Property located in Currituck County, NC is not within Catalyst's target acquisition markets. We are currently only acquiring in specific MSAs for Active Adult, BTR/Conventional Apartments, and Lot Development projects.",,Austin Blondell,analyst_quick_add,,,,,2026-07-02T16:03:05.264Z,2026-08-07T18:00:40.790Z
f71f0954-9b84-4bb4-97de-88e17be4a2e2,396,clear_no,red,medium,1817 LAKESIDE DR,Franklin,NC,28734,Macon,1500000.00,42.49,,,NO,NMDDA,NO,,[],"","Found 7 multifamily properties within 3 miles, but none meet our acquisition criteria (built 2020+ with 150+ units). The market here is composed of older or smaller assets that don't reflect institutional multifamily benchmarks.

Properties found nearby:
• HOLLY HAVEN — 1.2 mi: built 2004 (need 2020+), 48 units (need 150+)
• 43 Heritage Hollow — 1.4 mi: built 1977 (need 2020+), 22 units (need 150+)
• ULCO BLUFFS APARTMENTS — 1.7 mi: built 1983 (need 2020+), 38 units (need 150+)
• Indigo Apartments — 2.4 mi: built 2017 (need 2020+), 48 units (need 150+)
• ORCHARD VIEW APTS — 2.7 mi: 48 units (need 150+)",,Austin Blondell,analyst_quick_add,,,,,2026-07-02T15:55:18.120Z,2026-08-07T18:00:58.498Z
